,Nome,Co,Fe,Ni,Si,Al,Cr,Mo,Nb,Ti,C,V,Zr,Mn,Cu,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Ref.,Type of phases,r# (g/cm3),HV,Type of tests,sy (MPa),smax (MPa),e (%),E# (GPa)
0,CoFeNi,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,,,,,4,FCC,8.5,125,C,204,,,207
1,CoFeNi,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,,,,,4,FCC,8.5,125,C,209,,,207
2,CoFeNi,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,,,,,5,FCC,8.5,,T,211,513,31,207
3,CoFeNiSi0.25,30.76923077,30.76923077,30.76923077,7.692307692,,,,,,,,,,,,,,,,,,,,,4,FCC,7.7,149,C,196,,,194
4,CoFeNiSi0.5,28.57142857,28.57142857,28.57142857,14.28571429,,,,,,,,,,,,,,,,,,,,,4,FCC + Im,7.1,287,C,476,,,
5,CoFeNiSi0.75,26.66666667,26.66666667,26.66666667,20,,,,,,,,,,,,,,,,,,,,,4,FCC + Im,6.6,570,C,1301,,,
6,Al0.25CoFeNi,30.76923077,30.76923077,30.76923077,,7.692307692,,,,,,,,,,,,,,,,,,,,4,FCC,7.9,138,C,158,,,196
7,Al0.5CoFeNi,28.57142857,28.57142857,28.57142857,,14.28571429,,,,,,,,,,,,,,,,,,,,4,FCC + BCC,7.4,212,C,346,,,187
8,Al0.75CoFeNi,26.66666667,26.66666667,26.66666667,,20,,,,,,,,,,,,,,,,,,,,4,FCC + BCC,7.0,385,C,794,,,179
9,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,6,FCC,8.2,,T,148,413,48,225
10,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,7,FCC,8.2,116,,,,,225
11,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,7,FCC,8.2,113,,,,,225
12,CoCrFeMo0.5Ni,22.22222222,22.22222222,22.22222222,,,22.22222222,11.11111111,,,,,,,,,,,,,,,,,,8,FCC + Im,8.5,210,,,,,
13,CoCrFeNb0.103Ni,24.37241043,24.37241043,24.37241043,,,24.37241043,,2.510358274,,,,,,,,,,,,,,,,,6,FCC + Im,8.2,,T,318,622,19,
14,CoCrFeNb0.155Ni,24.06738869,24.06738869,24.06738869,,,24.06738869,,3.730445247,,,,,,,,,,,,,,,,,6,FCC + Im,8.2,,T,322,744,23,
15,CoCrFeNb0.206Ni,23.77555873,23.77555873,23.77555873,,,23.77555873,,4.897765097,,,,,,,,,,,,,,,,,6,FCC + Im,8.2,,T,403,807,9,
16,CoCrFeNb0.309Ni,23.20724066,23.20724066,23.20724066,,,23.20724066,,7.171037364,,,,,,,,,,,,,,,,,6,FCC + Im,8.2,,T,479,879,4,
17,CoCrFeNb0.412Ni,22.66545784,22.66545784,22.66545784,,,22.66545784,,9.338168631,,,,,,,,,,,,,,,,,6,FCC + Im,8.2,,T,638,1004,1,
18,CoCrFeNiTi,20,20,20,,,20,,,20,,,,,,,,,,,,,,,,9,FCC,7.2,,C,,2020,9,135
