Elementos,Density (g/cm³),Bulk modulus (GPa),Massa molar (g/mol),Radius (Å),Atomic volume,Atomic weight
Co,8.9,180,58.933,1.251,4.94,58.933194
Fe,7.874,170,55.845,1.241,4.82,55.845
Ni,8.908,180,58.693,1.246,4.88,58.6934
Si,2.33,100,28.085,1.153,3.87,28.085
Al,2.7,76,26.982,1.432,7.4,26.9815385
Cr,7.19,160,51.996,1.249,4.91,51.9961
Mo,10.28,230,95.96,1.363,6.39,95.95
Nb,8.57,170,92.906,1.429,7.36,92.90637
Ti,4.507,110,47.867,1.462,7.88,47.867
C,2.26,33,12.011,0.773,1.16,12.011
V,6.11,160,50.942,1.316,5.75,50.9415
Zr,6.511,80,91.224,1.603,10.39,91.224
Mn,7.47,120,54.938,1.35,6.2,54.938044
Cu,8.96,140,63.546,1.278,5.26,63.546
B,2.46,320,10.81,0.82,1.39,10.81
Y,4.472,41,88.906,1.802,14.76,88.90584
Sn,7.31,58,118.71,1.62,10.72,118.71
Li,0.535,11,6.94,1.519,8.84,6.94
Mg,1.738,45,24.305,1.601,10.35,24.305
Zn,7.14,70,65.38,1.395,6.85,65.38
Sc,2.985,57,44.956,1.641,11.14,44.955908
Hf,13.31,110,178.49,1.578,9.91,178.49
Ta,16.65,200,180.95,1.43,7.37,180.94788
W,19.25,310,183.84,1.367,6.44,183.84
