,Ref.,Nome,Co,Fe,Ni,Si,Al,Cr,Mo,Nb,Ti,C,V,Zr,Mn,Cu,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,atomic radius difference(δ) [%],Electro negativity difference (Δχ),Valence electron concentration (VEC),Ω parameter,Entalpia de mix (dHmix) [kJ/mol],Entropia de mix (dSmix) [J/K.mol],Melting temperature (Tm) [K],...,Type of phases,Obs*,Synthesis,As cast/Homogenized,Homog. Temperature [°C],Homog. tempo [h],Cold/Hot Working,Metal working obs.,Heat treatment,temperatura de pico [°C],tempo de pico [h],taxa de resfriamento [°C/min],meio de resfriamento,grain size [μm],obs*,density (g/cm3),density ROM (g/cm3),HV,obs dureza,Type of tests,testing temperature [°C],YS (MPa),UTS (MPa),e (%),E (GPa),...,Obs,Magnetização de saturação (Ms) [emu/g],Coercividade (Hc) [Oe],Permeabilidade (μ) [],Electrical resistivity [μΩ cm],...,Obs,eletrólito,Contraeletrodo,Referência,Ecorr [V],Icorr [A/cm²],Epit [V],...,Obs
,4,CoFeNi,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,,,,,0.75,0.0033,9,12.12,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.5,,125,,C,RT,204,-,-,207,,"YS, HV obtido por gráfico",150,1.8,,16.7,,,,,,,,,,
,4,CoFeNi,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,,,,,0.75,0.0033,9,12.12,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.5,,125,,C,RT,209,-,-,207,,"YS, HV obtido por gráfico",150,1.8,,16.7,,,,,,,,,,
,4,CoFeNiSi0.25,30.76923077,30.76923077,30.76923077,7.692307692,,,,,,,,,,,,,,,,,,,,,1.98,0.03229,8.62,1.59,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.7,,149,,C,RT,196,-,-,194,,"YS, HV obtido por gráfico",124.8,4.7,,53.5,,,,,,,,,,
,4,CoFeNiSi0.5,28.57142857,28.57142857,28.57142857,14.28571429,,,,,,,,,,,,,,,,,,,,,2.537,0.03194,9.29,1.03,,,,,FCC + Im,,Arc melting,As cast,,,,,,,,,,,,7.1,,287,,C,RT,476,-,-,,,"YS, HV obtido por gráfico",91.2,5.3,,84.2,,,,,,,,,,
,4,CoFeNiSi0.75,26.66666667,26.66666667,26.66666667,20,,,,,,,,,,,,,,,,,,,,,3.221,0.03138,8,0.81,,,,,FCC + Im,,Arc melting,As cast,,,,,,,,,,,,6.6,,570,,C,RT,1301,-,-,,,"YS, HV obtido por gráfico",79.8,55.9,,83.5,,,,,,,,,,
,4,Al0.25CoFeNi,30.76923077,30.76923077,30.76923077,,7.692307692,,,,,,,,,,,,,,,,,,,,3.706,0.0677,8.54,3.01,,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,7.9,,138,,C,RT,158,-,-,196,,"YS, HV obtido por gráfico",129,2.7,,46.7,,,,,,,,,,
,4,Al0.5CoFeNi,28.57142857,28.57142857,28.57142857,,14.28571429,,,,,,,,,,,,,,,,,,,,4.782,0.097,8.14,1.96,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.4,,212,,C,RT,346,-,-,187,,"YS, HV obtido por gráfico",106.2,4.3,,77.9,,,,,,,,,,
,4,Al0.75CoFeNi,26.66666667,26.66666667,26.66666667,,20,,,,,,,,,,,,,,,,,,,,5.599,0.1093,7.8,1.54,,,,,FCC + BCC,,Arc melting,As cast,,,,,,,,,,,,7.0,,385,,C,RT,794,-,-,179,,"YS, HV obtido por gráfico",112.8,4.1,,67.9,,,,,,,,,,
,4,AlCoFeNi,25,25,25,,25,,,,,,,,,,,,,,,,,,,,5.808,0.11755,7.5,1.31,,,,,BCC,,Arc melting,As cast,,,,,,,,,,,,6.6,,456,,C,RT,964,-,-,173,,"YS, HV obtido por gráfico",101.4,3.1,,65.3,,,,,,,,,,
,5,CoFeNi,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1200,24,Cold Rolling,"Rolling, reduction 92%",Annealing,900,1,,,28,,8.5,,,,T,RT,211,513,31,207,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,5,CoCrNi,33.33333333,,33.33333333,,,33.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1200,24,Cold Rolling,"Rolling, reduction 92%",Annealing,1000,1,,,41,,8.3,,,,T,RT,300,860,60,229,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,5,CoMnNi,33.33333333,,33.33333333,,,,,,,,,,33.33333333,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 90%",Annealing,900,1,,,32,,8.4,,,,T,RT,231,653,38,202,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,5,FeMnNi,,33.33333333,33.33333333,,,,,,,,,,33.33333333,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 90%",Annealing,900,1,,,30,,8.1,,,,T,RT,221,602,36,203,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,5,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1200,24,Cold Rolling,"Rolling, reduction 92%",Annealing,900,1,,,24,,8.2,,,,T,RT,274,708,39,225,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,5,CoCrMnNi,25,,25,,,25,,,,,,,25,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 90%",Annealing,1000,1,,,36,,8.1,,,,T,RT,282,694,44,222,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,5,CoFeMnNi,25,25,25,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,FCC,,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 90%",Annealing,1000,1,,,48,,8.2,,,,T,RT,170,550,41,205,,"Tensile testing in 77K, 203K, 293K(RT), 473K, 673K",,,,,,,,,,,,,,
,6,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,0.3,0.097,8.25,,-3.7,,,,FCC,,Arc melting,As cast,,,,,,,,,,,,8.2,,,,T,RT,147,413,48,225,,,,,,,,,,,,,,,,
,6,CoCrFeNb0.103Ni,24.37241043,24.37241043,24.37241043,,,24.37241043,,2.510358274,,,,,,,,,,,,,,,,,2.3,0.101,8.17,,-5.5,,,,FCC + Im,Im: Laves. fL = 3.7%,Arc melting,As cast,,,,,,,,,,,,8.2,,,,T,RT,317,622,19.2,,,,,,,,,,,,,,,,,
,6,CoCrFeNb0.155Ni,24.06738869,24.06738869,24.06738869,,,24.06738869,,3.730445247,,,,,,,,,,,,,,,,,2.8,0.104,8.13,,-6.3,,,,FCC + Im,Im: Laves = 9.3%,Arc melting,As cast,,,,,,,,,,,,8.2,,,,T,RT,321,744,23.3,,,,,,,,,,,,,,,,,
,6,CoCrFeNb0.206Ni,23.77555873,23.77555873,23.77555873,,,23.77555873,,4.897765097,,,,,,,,,,,,,,,,,3.1,0.105,8.09,,-7,,,,FCC + Im,Im: Laves = 15.6%,Arc melting,As cast,,,,,,,,,,,,8.2,,,,T,RT,402,807,8.6,,,,,,,,,,,,,,,,,
,6,CoCrFeNb0.309Ni,23.20724066,23.20724066,23.20724066,,,23.20724066,,7.171037364,,,,,,,,,,,,,,,,,3.7,0.11,8.02,,-8.4,,,,FCC + Im,Im: Laves = 24.7%,Arc melting,As cast,,,,,,,,,,,,8.2,,,,T,RT,478,879,3.5,,,,,,,,,,,,,,,,,
,6,CoCrFeNb0.412Ni,22.66545784,22.66545784,22.66545784,,,22.66545784,,9.338168631,,,,,,,,,,,,,,,,,4.2,0.112,7.95,,-9.7,,,,FCC + Im,Im: Laves = 31.9%,Arc melting,As cast,,,,,,,,,,,,8.2,,,,T,RT,637,1004,1.3,,,,,,,,,,,,,,,,,
,7,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,C-0,Arc melting,As cast,,,,,,,,,,,,8.2,,116,Load of 5kg,,,,,,225,,density and E data is not in the article,,,,,,,,,,,,,,
,7,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,H-0,Arc melting,Homogenized,1100,24,,,,,,,,,,8.2,,113,Load of 5kg,,,,,,225,,density and E data is not in the article,,,,,,,,,,,,,,
,7,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,D-0,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 50%",,,,,,,,8.2,,326,Load of 5kg,,,,,,225,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.25CoCrFeNi,23.52941176,23.52941176,23.52941176,,5.882352941,23.52941176,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,C-0.25,Arc melting,As cast,,,,,,,,,,,,7.7,,110,Load of 5kg,,,,,,216,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.25CoCrFeNi,23.52941176,23.52941176,23.52941176,,5.882352941,23.52941176,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,H-0.25,Arc melting,Homogenized,1100,24,,,,,,,,,,7.7,,113,Load of 5kg,,,,,,216,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.25CoCrFeNi,23.52941176,23.52941176,23.52941176,,5.882352941,23.52941176,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,D-0.25,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 50%",,,,,,,,7.7,,346,Load of 5kg,,,,,,216,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.375CoCrFeNi,22.85714286,22.85714286,22.85714286,,8.571428571,22.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC,C-0.375,Arc melting,As cast,,,,,,,,,,,,7.5,,131,Load of 5kg,,,,,,211,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.375CoCrFeNi,22.85714286,22.85714286,22.85714286,,8.571428571,22.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC + BCC,H-0.375,Arc melting,Homogenized,1100,24,,,,,,,,,,7.5,,196,Load of 5kg,,,,,,211,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.375CoCrFeNi,22.85714286,22.85714286,22.85714286,,8.571428571,22.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC + BCC,D-0.375,Arc melting,Homogenized,1100,24,Cold Rolling,"Rolling, reduction 50%",,,,,,,,7.5,,361,Load of 5kg,,,,,,211,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.5CoCrFeNi,22.22222222,22.22222222,22.22222222,,11.11111111,22.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC + BCC,C-0.5,Arc melting,As cast,,,,,,,,,,,,7.3,,159,Load of 5kg,,,,,,208,,density and E data is not in the article,,,,,,,,,,,,,,
,7,Al0.5CoCrFeNi,22.22222222,22.22222222,22.22222222,,11.11111111,22.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC + BCC,H-0.5,Arc melting,Homogenized,1100,24,,,,,,,,,,7.3,,209,Load of 5kg,,,,,,208,,density and E data is not in the article,,,,,,,,,,,,,,
